champion	winRate	pickRate	BanRate	region
ビクター	50.56%	17.96%	35.77%	global
サイラス	50.01%	10.27%	9.8%	global
アーリ	50.87%	9.7%	4.13%	global
ヤスオ	49.22%	7.73%	12.6%	global
ヨネ	48.26%	7.44%	5.87%	global
アカリ	50.32%	7.18%	9.02%	global
カタリナ	50.41%	6.19%	6.7%	global
シンドラ	50.14%	6.1%	3.8%	global
ゼド	49.43%	5.94%	12.73%	global
フェイ	50.28%	5.88%	5.53%	global
ガリオ	51.01%	5.25%	3.64%	global
オーロラ	50.15%	5.16%	11.24%	global
ルブラン	48.72%	4.83%	17.28%	global
オリアナ	49.38%	4.28%	0.79%	global
ラックス	50.9%	3.97%	1.58%	global
イレリア	51.19%	3.74%	6.34%	global
マルザハール	50.74%	3.71%	3.64%	global
ヴェックス	52.51%	3.38%	5.24%	global
ブラッドミア	50.11%	3.28%	2.7%	global
ゼラス	50.64%	3.19%	2.51%	global
リサンドラ	50.97%	3.16%	1.45%	global
エコー	50.78%	3.09%	0.59%	global
フィズ	50.23%	2.97%	3.37%	global
タロン	51.1%	2.88%	0.9%	global
ベイガー	50.98%	2.86%	0.57%	global
ライズ	50.81%	2.71%	0.33%	global
ツイステッド・フェイト	49.93%	2.66%	0.23%	global
カサディン	50.63%	2.65%	3.12%	global
ダイアナ	50.91%	2.48%	0.74%	global
ゾーイ	50.87%	2.41%	1.02%	global
アクシャン	51.33%	2.31%	2.09%	global
アジール	48.61%	2.21%	0.3%	global
キヤナ	51.32%	2.2%	0.54%	global
アニビア	52.16%	2.17%	1.47%	global
ジェイス	48.38%	2.12%	0.69%	global
オレリオン・ソル	50.83%	1.98%	0.71%	global
タリヤ	52.06%	1.77%	0.49%	global
スウェイン	49.67%	1.76%	1.04%	global
スモルダー	42.68%	1.65%	0.67%	global
カシオペア	51.65%	1.57%	0.96%	global
ヴェル＝コズ	51.8%	1.33%	0.28%	global
グラガス	51.11%	1.03%	0.48%	global
アニー	51.3%	1.03%	0.17%	global
ナフィーリ	51.48%	1.01%	0.41%	global
コーキ	48.21%	0.95%	0.87%	global
マルファイト	51.13%	0.77%	1.08%	global
アンベッサ	49.53%	0.69%	3.76%	global
パンテオン	50.59%	0.66%	0.15%	global
ジグス	49.03%	0.66%	0.17%	global
ケイル	51.33%	0.65%	0.2%	global
ビクター	50.04%	17.06%	36.85%	NA
ランブル	50.58%	9.08%	4.42%	NA
アーリ	50.24%	8.33%	9.51%	NA
サイラス	49.84%	7.01%	13.6%	NA
シンドラ	50.42%	6.9%	5.07%	NA
ヨネ	48.12%	6.47%	6%	NA
ガリオ	51.12%	6.43%	5.76%	NA
アカリ	50.44%	6.33%	7.9%	NA
フェイ	49.8%	5.74%	6.07%	NA
ゼド	50.37%	4.98%	10.15%	NA
カタリナ	49.51%	4.96%	4.02%	NA
オーロラ	50.28%	4.8%	10.26%	NA
マルザハール	50.29%	4.13%	2.78%	NA
ラックス	49.57%	4.02%	1.37%	NA
オリアナ	48.56%	3.84%	0.55%	NA
エコー	50.31%	3.82%	1.21%	NA
ブラッドミア	48.81%	3.72%	2.79%	NA
フィズ	50.27%	3.5%	4.5%	NA
ルブラン	49.22%	3.42%	10.26%	NA
ベイガー	48.66%	2.99%	0.61%	NA
ヴェックス	51.22%	2.97%	4.17%	NA
タロン	51.33%	2.84%	0.97%	NA
リサンドラ	51.48%	2.78%	0.82%	NA
アクシャン	50.64%	2.76%	3.15%	NA
アニビア	50.28%	2.75%	2.76%	NA
カサディン	49.1%	2.67%	2.23%	NA
イレリア	51.37%	2.65%	3.57%	NA
ライズ	49.47%	2.59%	0.3%	NA
ゼラス	49.03%	2.59%	1.02%	NA
ツイステッド・フェイト	50.49%	2.52%	0.15%	NA
ダイアナ	50.13%	2.37%	0.66%	NA
ゾーイ	49.67%	2.35%	1.06%	NA
キヤナ	52.15%	2.32%	0.53%	NA
スウェイン	49.37%	2.25%	1.43%	NA
ジェイス	48.42%	2.23%	0.51%	NA
タリヤ	51.07%	2.23%	0.62%	NA
アジール	49.26%	2.21%	0.46%	NA
オレリオン・ソル	50.4%	2.11%	1.05%	NA
スモルダー	42.46%	1.79%	0.68%	NA
カシオペア	51.72%	1.66%	1.02%	NA
ナフィーリ	50.42%	1.4%	0.48%	NA
ヴェル＝コズ	50.95%	1.35%	0.34%	NA
アニー	50.83%	1.33%	0.18%	NA
コーキ	49.09%	1.12%	1.21%	NA
グラガス	52.01%	1.11%	0.57%	NA
アンベッサ	48.9%	0.99%	5.42%	NA
ガレン	52.61%	0.98%	0.59%	NA
ジグス	47.32%	0.81%	0.21%	NA
パンテオン	52.19%	0.8%	0.16%	NA
マルファイト	48.67%	0.79%	1.29%	NA
ビクター	53.48%	13.38%	19.46%	ME
ヤスオ	47.35%	11.37%	16.24%	ME
ゼド	51.81%	11.26%	19.64%	ME
サイラス	52.48%	9.37%	6.04%	ME
アーリ	53.05%	7.33%	3.11%	ME
マルザハール	48.98%	6.7%	11.05%	ME
カタリナ	51.48%	6.53%	8.54%	ME
アカリ	53.45%	6.47%	7.18%	ME
ヨネ	47.3%	6.12%	3.76%	ME
エコー	53.87%	5.01%	2.57%	ME
シンドラ	52.17%	4.92%	2.16%	ME
オレリオン・ソル	55.14%	4.72%	1.2%	ME
ガリオ	50%	4.47%	1.98%	ME
フィズ	43.04%	4.47%	6.71%	ME
フェイ	52.4%	4.45%	3.79%	ME
ラックス	47.8%	4.43%	1.19%	ME
ブラッドミア	50.67%	4.33%	8.01%	ME
