champion	winRate	pickRate	banRate	region
ルブラン	49.32	7.9	45.12	KR
サイラス	49.72	17.72	18.82	KR
オーロラ	49.34	7.28	12.78	KR
ヨネ	47.88	11.43	8.53	KR
ヤスオ	49.04	7.36	11.83	KR
ゼド	49.16	5.88	11.78	KR
フェイ	50.32	7.26	9.47	KR
アカリ	49.41	9.55	6.64	KR
ヴェックス	52.04	4.62	10.27	KR
アーリ	50.52	11	2.6	KR
ガリオ	50.32	7.94	5.66	KR
オリアナ	49.51	7.93	2.48	KR
カタリナ	51.08	4.68	2.72	KR
タロン	51.27	3.94	0.97	KR
アジール	47.91	4.01	0.41	KR
ゼド	49.27	6.72	16.6	EuropeEast
アーリ	50.9	13.87	8.38	EuropeEast
カタリナ	49.94	8.41	11.2	EuropeEast
ヤスオ	49.65	7.83	11.75	EuropeEast
シンドラ	50.66	8.49	10.0	EuropeEast
サイラス	49.98	8.78	9.12	EuropeEast
フェイ	50.28	6.13	8.43	EuropeEast
マルザハール	51.61	5.26	7.52	EuropeEast
ブラッドミア	50.95	4.7	7.37	EuropeEast
ヨネ	47.7	5.52	5.24	EuropeEast
アカリ	49.56	4.99	4.67	EuropeEast
リサンドラ	50.65	5.48	3.35	EuropeEast
ガリオ	51.11	5.09	3.11	EuropeEast
ラックス	50.83	5.78	1.58	EuropeEast
ビクター	49.65	4.81	0.83	EuropeEast
サイラス	50.28	10.48	12.87	EuropeWest
ルブラン	49.42	4.63	18.72	EuropeWest
アーリ	51.34	13.69	7.08	EuropeWest
シンドラ	50.43	8.28	10.42	EuropeWest
オーロラ	50.13	5.58	12.4	EuropeWest
ヤスオ	48.96	6.88	10.62	EuropeWest
カタリナ	49.92	6.64	9.46	EuropeWest
フェイ	49.33	7.32	8.1	EuropeWest
ゼド	49.1	5.27	9.78	EuropeWest
ヨネ	48.53	6.77	8.09	EuropeWest
アカリ	49.84	6.13	7.59	EuropeWest
ガリオ	50.49	5.32	3.64	EuropeWest
オリアナ	48.96	5.52	1.09	EuropeWest
ビクター	48.59	4.48	0.71	EuropeWest
ラックス	49.74	3.73	0.74	EuropeWest
ルブラン	49.5	5.8	22.77	Global
サイラス	50.02	12.5	13.16	Global
ヤスオ	49.32	7.76	13.54	Global
ゼド	49.29	6.02	13.38	Global
アーリ	51.19	12.19	5.83	Global
オーロラ	50.09	5.24	10.96	Global
カタリナ	50.52	5.07	9.25	Global
アカリ	49.63	5.87	8.32	Global
フェイ	50.44	7.66	6.42	Global
シンドラ	51.44	8.67	8.03	Global
サイラス	50.52	11.16	14.4	Japan
ルブラン	48.13	5.08	16.96	Japan
オーロラ	49.42	7.34	12.31	Japan
フェイ	50.44	8.64	9.42	Japan
ガリオ	50.68	8.52	8.54	Japan
ヨネ	47.05	8.07	6.53	Japan
アカリ	50.32	6.24	7.65	Japan
ヴェックス	50.55	4.39	9.45	Japan
ヤスオ	47.63	6.39	7.41	Japan
ゼド	50.41	4.87	8.77	Japan
アーリ	49.85	9.75	3.45	Japan
マルザハール	49.5	5.67	5.79	Japan
カタリナ	50.59	4.78	5.03	Japan
スウェイン	47.17	4.21	4.79	Japan
ライズ	51.61	5.11	0.86	Japan
ヤスオ	55.09	9.94	17.84	MiddleEast
ゼド	48.16	10.52	16.94	MiddleEast
マルザハール	55.15	8.66	11.0	MiddleEast
サイラス	49.01	9.84	9.02	MiddleEast
フィズ	53.87	6.54	8.59	MiddleEast
カタリナ	52.99	5.64	7.53	MiddleEast
アーリ	53.75	8.35	4.4	MiddleEast
フェイ	47.5	6.29	6.44	MiddleEast
アカリ	51.42	4.22	6.6	MiddleEast
ヨネ	49.58	5.84	4.45	MiddleEast
アニビア	53.97	4.24	3.56	MiddleEast
ガリオ	54.91	5.4	2.09	MiddleEast
エコー	51.18	5.09	1.02	MiddleEast
アクシャン	52.94	4.1	1.94	MiddleEast
ダイアナ	48.02	4.27	1.65	MiddleEast
サイラス	48.2	11.52	15.61	Oceania
ルブラン	50.13	4.39	17.9	Oceania
ガリオ	50.74	8.79	11.42	Oceania
アーリ	49.98	12.64	7.28	Oceania
ヤスオ	50.93	7.0	10.74	Oceania
カタリナ	48.65	6.03	10.04	Oceania
オーロラ	49.91	4.52	9.91	Oceania
ヨネ	47.57	7.72	6.58	Oceania
アカリ	49.07	5.83	7.88	Oceania
ゼド	49.01	4.87	7.22	Oceania
シンドラ	48.1	6.52	5.46	Oceania
フェイ	50.23	6.78	6.11	Oceania
タロン	53.34	4.5	1.32	Oceania
ビクター	48.4	4.36	0.71	Oceania
オリアナ	47.81	4.15	0.59	Oceania
サイラス	49.95	10.04	12.27	NA
ヤスオ	49.27	7.45	15.27	NA
アーリ	49.8	12.87	7.97	NA
ゼド	48.98	6.35	13.69	NA
ルブラン	48.64	4.74	15.38	NA
フェイ	49.13	6.82	10.47	NA
カタリナ	49.86	6.04	9.19	NA
シンドラ	50.26	6.79	10.33	NA
ヨネ	48.09	7.28	7.43	NA
ガリオ	51.42	7.21	5.51	NA
アカリ	50.59	5.42	6.38	NA
オーロラ	51.0	5.2	7.3	NA
ゼド	49.81	6.22	8.17	NA
